chapter	volume	book	chapter_book	tokens_en	characters	paragraphs	tokens_sp
1	1	1	1	11578	56010	182	10878
2	1	1	2	13027	61100	192	12076
3	1	1	3	11191	53468	173	10268
4	1	1	4	6803	31862	121	6018
5	1	1	5	5965	28691	97	5562
6	1	1	6	7376	36071	89	6856
7	1	1	7	6263	30588	65	6270
8	1	1	8	7645	36820	84	7427
9	1	1	9	7098	35062	91	6926
10	1	1	10	6915	31949	129	6344
11	1	1	11	10771	52652	151	10517
12	1	1	12	9942	48412	120	9428
13	1	2	1	10443	50918	165	9959
14	1	2	2	18835	87700	256	18150
15	1	2	3	12178	58831	206	11407
16	1	2	4	13198	63579	206	12580
17	1	2	5	6352	29911	103	6160
18	1	2	6	10718	51915	157	10273
19	1	2	7	7794	37142	108	7418
20	1	2	8	6992	33722	85	6663
21	1	2	9	8198	39248	109	7934
22	1	2	10	7255	33438	120	6865
23	2	3	1	3972	19097	67	3722
24	2	3	2	12898	61282	226	12318
25	2	3	3	8957	43268	148	8809
26	2	3	4	14943	70674	202	14506
27	2	3	5	10384	48151	170	9716
28	2	3	6	10849	51398	180	10825
29	2	3	7	8766	42249	162	8864
30	2	3	8	9168	44167	139	9123
31	2	3	9	9055	42189	125	8914
32	2	3	10	6639	30928	90	6493
33	2	3	11	7427	34561	122	7344
34	2	4	1	9695	44861	174	9386
35	2	4	2	8556	40686	125	8739
36	2	4	3	6777	31568	75	6795
37	2	4	4	7983	38076	107	8188
38	2	4	5	11629	54272	152	11829
39	2	4	6	6173	28476	112	6165
40	2	4	7	4906	23603	72	5015
41	2	4	8	7797	36451	102	7920
42	2	4	9	5983	28238	71	6213
43	2	4	10	8270	38226	124	8478
44	3	5	1	15014	70722	196	15343
45	3	5	2	9905	46398	164	9781
46	3	5	3	7897	37711	110	8091
47	3	5	4	13581	64805	198	14241
48	3	5	5	4946	23783	66	5222
49	3	5	6	5966	28789	68	6389
50	3	5	7	4261	20177	60	4375
51	3	5	8	7750	35903	121	7709
52	3	5	9	6131	28851	84	6141
53	3	5	10	5806	28155	59	5870
54	3	6	1	10970	51475	121	11190
55	3	6	2	9516	45106	126	9718
56	3	6	3	8818	41460	101	9113
57	3	6	4	5424	25942	74	5567
58	3	6	5	8649	40491	121	8584
59	3	6	6	8485	40099	133	8384
60	3	6	7	4669	21777	76	4659
61	3	6	8	12881	60837	244	13441
62	3	6	9	5444	26129	97	5530
